DATE,SAHMREALTIME,T10YIE,GEPUCURRENT,NFCI,^MOVE,^SKEW,USD_Log_Ret_1M
2012-08-31,0.03,2.25,116.96839694186473,-0.462,68.69999694824219,120.77999877929688,-0.007291534003271403
2012-09-30,-0.1,2.42,153.5869384600671,-0.528,60.470001220703125,125.87000274658203,-0.014573877130592466
2012-10-31,-0.13,2.5,151.12166580863942,-0.55,71.43000030517578,115.04000091552734,0.003590210405879951
2012-11-30,-0.13,2.41,165.75635341180524,-0.556,51.79999923706055,117.06999969482422,-0.0006265612800285865
2012-12-31,0.0,2.45,170.16380835460885,-0.6,59.400001525878906,121.2699966430664,-0.0002239454811893234
2013-01-31,0.0,2.59,167.12465300401243,-0.643,65.5999984741211,121.63999938964844,-0.003138311385792846
2013-02-28,-0.03,2.53,122.75716917827998,-0.651,55.880001068115234,126.86000061035156,0.01635270992761928
2013-03-31,-0.07,2.51,145.56859862171575,-0.664,57.29999923706055,122.93000030517578,7.584088585796865e-05
2013-04-30,-0.13,2.34,136.20573390160476,-0.704,49.20000076293945,119.05000305175781,-0.01010374124618945
2013-05-31,-0.03,2.21,107.75691938636902,-0.691,80.0,119.51000213623047,0.024149508268247206
2013-06-30,0.0,1.99,127.51606137664947,-0.63,99.80000305175781,116.52999877929688,0.0074194525621065965
2013-07-31,-0.03,2.22,107.95890058768816,-0.661,82.5999984741211,117.8499984741211,-0.007818003892084615
2013-08-31,-0.1,2.1,119.31401795530486,-0.665,103.5,117.4800033569336,0.012572089355648717
2013-09-30,-0.13,2.19,138.6233897021561,-0.677,80.19999694824219,123.45999908447266,-0.01953867355828515
2013-10-31,-0.03,2.17,168.48061820680076,-0.726,61.70000076293945,132.3300018310547,-0.0020436124853277717
2013-11-30,-0.1,2.15,103.8391664619896,-0.77,68.0,130.82000732421875,0.009638403850313539
2013-12-31,-0.17,2.24,122.64177002804904,-0.779,73.5,133.6300048828125,-0.000763943201919085
2014-01-31,-0.2,2.14,115.25755875656073,-0.763,64.69999694824219,128.3699951171875,0.017165229257761924
2014-02-28,-0.1,2.17,101.1472733626594,-0.776,57.70000076293945,137.1699981689453,-0.00832963168683732
2014-03-31,0.0,2.13,114.65237885062528,-0.776,61.79999923706055,123.25,-0.0015342117856808586
2014-04-30,-0.1,2.18,110.45015023216152,-0.769,58.900001525878906,124.52999877929688,-0.003759051227405677
2014-05-31,-0.13,2.22,106.8390735707878,-0.789,58.29999923706055,124.2300033569336,-0.0013748988311362005
2014-06-30,-0.2,2.26,91.14821140825859,-0.783,52.70000076293945,139.35000610351562,-0.0059347736107465765
2014-07-31,-0.03,2.29,94.17998564529094,-0.739,56.459999084472656,128.7100067138672,0.013225702701018575
2014-08-31,-0.07,2.12,96.85071970344435,-0.722,60.4900016784668,127.01000213623047,0.0029433583757186013
2014-09-30,-0.07,1.97,121.73330987420928,-0.673,64.19999694824219,127.7300033569336,0.02914102189667709
2014-10-31,-0.13,1.92,112.59083773760791,-0.644,68.69999694824219,124.75,0.0060334752631446
2014-11-30,-0.1,1.79,119.36406517732428,-0.65,66.5999984741211,131.88999938964844,0.019735417879977263
2014-12-31,-0.1,1.68,111.29673945685164,-0.572,68.9000015258789,133.83999633789062,0.02186726336267573
2015-01-31,0.0,1.65,129.05862693182343,-0.506,86.5999984741211,125.36000061035156,0.03179232575942735
2015-02-28,-0.1,1.83,115.6155952498228,-0.525,91.4000015258789,126.4000015258789,9.186193252724621e-05
2015-03-31,-0.03,1.76,111.3781448434738,-0.539,86.0999984741211,120.3499984741211,0.01728845051380805
2015-04-30,-0.1,1.94,100.9781420239994,-0.545,75.30000305175781,115.95999908447266,-0.02000145643893163
2015-05-31,0.0,1.8,104.46210434787857,-0.547,82.69999694824219,122.5,0.013457355810735733
2015-06-30,-0.07,1.87,119.21169438298864,-0.54,92.30000305175781,123.87999725341797,-0.002060416779164455
2015-07-31,-0.03,1.74,123.09581595749547,-0.5,75.80000305175781,124.19999694824219,0.021020648495815114
2015-08-31,-0.13,1.63,119.81714603791028,-0.417,87.69999694824219,129.36000061035156,0.016232393761944137
2015-09-30,-0.07,1.41,153.68748113179885,-0.404,81.5999984741211,113.9000015258789,0.0069312901768892
2015-10-31,-0.1,1.53,115.96898203730356,-0.466,73.0999984741211,125.7699966430664,-0.010140062237495171
2015-11-30,-0.03,1.59,105.33145877804628,-0.443,69.9000015258789,127.25,0.01916140511463262
2015-12-31,-0.03,1.54,112.56950499373438,-0.361,67.80000305175781,124.43000030517578,0.00888775004004401
2016-01-31,-0.03,1.41,144.52665766496807,-0.298,74.0,120.86000061035156,0.019485493053404232
2016-02-29,-0.03,1.42,147.48300213264932,-0.316,83.38999938964844,117.68000030517578,-0.01158597542806899
2016-03-31,0.0,1.62,159.28977291016236,-0.37,68.80000305175781,122.02999877929688,-0.03857261410207262
2016-04-30,0.03,1.71,142.29600124441353,-0.385,64.91999816894531,126.48999786376953,-0.009981499716382451
2016-05-31,-0.03,1.54,125.81350028030027,-0.373,67.91000366210938,127.69999694824219,0.03254631796694295
2016-06-30,-0.03,1.4,231.05573344420367,-0.347,72.63999938964844,140.5800018310547,-0.0023669872585100533
2016-07-31,-0.03,1.49,204.92285871568367,-0.358,64.1500015258789,128.25,-0.0025692336520596573
2016-08-31,0.07,1.47,134.74163051003325,-0.353,69.08000183105469,129.25,0.004722727408856763
2016-09-30,0.1,1.6,135.50843354811593,-0.338,60.560001373291016,124.58000183105469,-0.0011046670855068455
2016-10-31,0.1,1.73,126.43607709971928,-0.378,65.47000122070312,126.12000274658203,0.015372048747727535
2016-11-30,0.0,1.94,228.72571947461648,-0.429,80.95999908447266,126.38999938964844,0.032315878086805215
2016-12-31,-0.07,1.95,184.98364258927208,-0.466,71.62999725341797,127.26000213623047,0.004938382033738807
2017-01-31,0.0,2.05,247.29754147936168,-0.486,72.5199966430664,138.0800018310547,-0.018097383253313757
2017-02-28,0.03,2.02,186.2873276929412,-0.487,70.88999938964844,131.97999572753906,-0.0019024470131234167
2017-03-31,-0.03,1.97,236.02181683318676,-0.48,60.70000076293945,138.30999755859375,-0.010480301474372726
2017-04-30,-0.13,1.92,176.40003710496936,-0.507,60.189998626708984,146.97999572753906,-5.314017027882879e-05
2017-05-31,-0.13,1.81,144.09811272073168,-0.545,53.95000076293945,125.11000061035156,-0.013084002959709207
2017-06-30,-0.03,1.73,171.71627059966727,-0.569,55.220001220703125,129.50999450683594,-0.011594322487661998
2017-07-31,-0.03,1.82,164.9591009516385,-0.577,48.13999938964844,139.82000732421875,-0.019584291571199557
2017-08-31,0.03,1.76,140.6259306511348,-0.559,51.130001068115234,134.0,-0.004097889589509873
2017-09-30,-0.03,1.84,157.6540748050436,-0.569,52.880001068115234,137.75,0.006544408478389971
2017-10-31,-0.07,1.88,144.50923773473738,-0.595,51.150001525878906,131.80999755859375,0.01548983410884706
2017-11-30,-0.1,1.86,159.9080579036383,-0.604,46.83000183105469,128.89999389648438,-0.012061153094142706
2017-12-31,-0.03,1.96,148.16699621114816,-0.616,46.599998474121094,137.0500030517578,-0.0035049874213000606
2018-01-31,0.0,2.11,177.71403301677506,-0.607,57.20000076293945,121.2300033569336,-0.030518688939340857
2018-02-28,0.0,2.12,125.99200449060848,-0.545,62.970001220703125,138.9499969482422,0.01506535979434405
2018-03-31,0.0,2.05,181.69013912297527,-0.498,58.540000915527344,119.33999633789062,-0.008448704460858329
2018-04-30,-0.07,2.17,165.0225491320811,-0.539,50.349998474121094,130.77000427246094,0.01713855634827541
2018-05-31,-0.1,2.07,171.49932503519423,-0.565,60.540000915527344,143.88999938964844,0.023975770464782775
2018-06-30,-0.03,2.11,164.91752705189032,-0.539,51.16999816894531,141.72000122070312,0.011269475710796497
2018-07-31,0.0,2.12,227.49118600017692,-0.562,46.5,144.49000549316406,-0.004679007689096675
2018-08-31,0.03,2.08,172.16646480818656,-0.597,50.709999084472656,146.91000366210938,0.013617507637696766
2018-09-30,-0.07,2.14,193.32195627597463,-0.593,46.15999984741211,144.42999267578125,-0.004102017649303132
2018-10-31,-0.07,2.05,213.5853498685752,-0.552,60.130001068115234,117.63999938964844,0.023622263668908645
2018-11-30,-0.07,1.97,247.1332789240581,-0.461,52.43000030517578,114.70999908447266,-0.0009882327280781242
2018-12-31,0.07,1.71,220.39056724138817,-0.426,66.58000183105469,117.26000213623047,-0.007290303363525007
2019-01-31,0.13,1.85,243.99054678658453,-0.506,49.810001373291016,126.52999877929688,-0.017607118323835408
2019-02-28,0.17,1.95,173.7976955053763,-0.581,47.220001220703125,126.44000244140625,0.0056966250575748055
2019-03-31,0.13,1.88,240.87607356546937,-0.606,58.54999923706055,120.95999908447266,0.008180175921101051
2019-04-30,0.0,1.95,191.28384853645807,-0.614,49.470001220703125,126.47000122070312,0.0016575174362886717
2019-05-31,-0.07,1.74,223.547913900888,-0.581,72.68000030517578,112.6500015258789,0.012059335458806523
2019-06-30,-0.03,1.69,320.43106652011454,-0.575,70.43000030517578,117.5,-0.01854884847798909
2019-07-31,0.03,1.76,249.3960504666888,-0.577,55.25,121.94000244140625,0.007932179003748596
2019-08-31,0.07,1.55,290.65585871241694,-0.527,86.88999938964844,115.0199966430664,0.022794704624967726
2019-09-30,0.0,1.53,237.37555726286607,-0.511,77.19999694824219,116.61000061035156,-0.0017907397980566778
2019-10-31,-0.03,1.54,202.25403568557496,-0.55,65.87999725341797,129.63999938964844,-0.017392144322694595
2019-11-30,-0.07,1.61,242.60260664166728,-0.57,56.56999969482422,130.3699951171875,0.010366869381371354
2019-12-31,0.0,1.77,232.09853032302172,-0.554,58.279998779296875,139.52000427246094,-0.021152748172252666
2020-01-31,0.0,1.65,191.721791492481,-0.621,72.9800033569336,135.72999572753906,0.009249057376974207
2020-02-29,0.0,1.41,196.49325687323852,-0.296,109.66999816894531,130.82000732421875,0.016473137345698153
2020-03-31,0.3,0.87,318.4648591140121,0.266,83.87000274658203,125.48999786376953,0.04058480202954945
2020-04-30,4.0,1.07,328.13263909267255,0.158,53.59000015258789,130.3800048828125,-0.001658927158561172
